label,message
ham,Hey are we still meeting today?
ham,I will call you later
spam,Congratulations! You have won a free ticket
ham,Can you send me the notes?
spam,Win cash now!!! Click here
ham,Let's have lunch tomorrow
spam,Exclusive offer just for you claim now
ham,Are you coming to class?
spam,You have been selected for a prize reward
ham,Don't forget the assignment deadline
spam,Get a loan instantly with zero interest
ham,Good morning have a nice day
spam,Free entry in a weekly contest text WIN now
ham,Where are you right now?
spam,You won a lottery of 1 lakh rupees
ham,Call me when you are free
spam,Limited time offer buy now
ham,See you in the evening
spam,Act now to claim your reward
ham,Please review the document
spam,Click here to get rich quickly
ham,Let's go for a movie
spam,You have been chosen for a free gift
ham,Meeting is postponed to tomorrow
spam,Earn money from home easily
ham,Happy birthday! Have a great year ahead
spam,Your account has been selected for a bonus
ham,Can you help me with this problem?
spam,Win a brand new phone today
ham,Please send the files
spam,Claim your free recharge now
ham,What time is the lecture?
spam,You have won 5000 rupees claim now
ham,Let's study together
spam,Lowest price guaranteed buy now
ham,I will reach in 10 minutes
spam,Limited deal act fast
ham,Did you complete the assignment?
spam,Win free coupons today
ham,See you tomorrow
spam,Get rich fast opportunity
ham,Thanks for your help
spam,Special promotion just for you
ham,Please attend the meeting
spam,You are selected for cash prize
ham,Call me asap
spam,Claim your free vacation now
ham,Where are you?
spam,Win lottery instantly
ham,Good night
spam,Exclusive deal for you click now
ham,Can you share notes?
spam,Free bonus waiting for you
ham,I will text you later
spam,You won a free car
ham,Let's meet at library
spam,Limited offer hurry up
ham,Assignment submission today
spam,Get money easily
ham,Are you free today?
spam,Claim your reward now
ham,Join us for dinner
spam,Win big prizes now
ham,Send me the link
spam,You have been chosen for reward
ham,Check your email
spam,Click here to earn money
ham,I am on my way
spam,Special discount just for you
ham,Please confirm your attendance
spam,Free recharge offer
ham,Let's catch up soon
spam,Win gift vouchers today
ham,Can you call me?
spam,Claim your cashback now
ham,Meeting starts at 10
spam,You won jackpot prize
ham,Thanks see you
spam,Limited time deal buy now
ham,Study session at 5
spam,Act now win rewards
ham,Please send details
spam,Get bonus instantly
ham,Will update you soon
spam,Exclusive cashback offer
ham,See you at college
spam,Win cash prizes now
ham,Good luck for exam
spam,Free gift waiting
ham,Can you help me?
spam,Special reward selected
ham,I will be late
spam,Claim your prize today
ham,Lunch at 2?
spam,Win free trip now
ham,Let's go out
spam,Click here for bonus
ham,Where are you?
spam,Limited offer grab now
ham,Call me later
spam,You have won reward
ham,Meeting tomorrow
spam,Free entry contest
ham,Thanks for coming
spam,Get money now
ham,Please check message
spam,Win instant rewards
ham,Good evening
spam,Exclusive prize for you
ham,See you soon
spam,Claim your bonus now
ham,All the best
spam,Win big cash today
ham,Let's discuss project
spam,Click now for free reward
ham,Reach home safely
spam,You have won free coupon
ham,Please reply soon
spam,Get free trial now
ham,Class cancelled today
spam,Win amazing prizes
ham,Call me after class
spam,Special deal today
ham,Submit your assignment
spam,Claim free offer
ham,Check this out
spam,Win lottery prize
ham,Are you coming?
spam,Get bonus offer now
ham,Thanks a lot
spam,Free membership today
ham,Good afternoon
spam,Win cash reward
ham,Please update me
spam,Exclusive reward waiting
ham,Let's meet tomorrow
spam,Click here to win
ham,Send notes please
spam,You won prize money
ham,See you later
spam,Claim your free reward
ham,Working on project
spam,Win bonus instantly
ham,Going home
spam,Get free gift now
ham,Will call later
spam,Special offer hurry
ham,Take care
spam,Win big rewards
ham,Assignment done
spam,Claim your prize now
ham,See you in class
spam,Free coupons waiting
ham,Call me tonight
spam,Win jackpot now
ham,Thanks again
spam,Click to claim reward
